respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.17710068022578782,0.7537933922174915
26708,0.1560434043075154,0.5995404859212373
26709,0.25758129191570966,0.714051372480458
26710,0.8119318663191427,0.8999595385727577
26711,0.27803892434706795,0.7265126183721663
26712,0.22559963817154546,0.7879898100065451
26713,0.7340756227618459,0.9104537281085935
26714,0.1934974317259417,0.7897543090572064
26715,0.1036489038541924,0.7836139761238986
26716,0.2943773075880124,0.7984475151305835
26717,0.12214707981958885,0.7612049268211112
26718,0.17788976753898436,0.6294015096691008
26719,0.08659513528753562,0.9120354268934759
26720,0.18600642109845658,0.6516640507921793
26721,0.6119310558969832,0.7874217566646144
26722,0.12168707031801719,0.4096954405062237
26723,0.6807334764348892,0.8497982089028222
26724,0.24438495764466994,0.8120786179000968
26725,0.2944768289062129,0.6797385752459654
26726,0.09226357255311204,0.6536739866429636
26727,0.3157573715054306,0.7764515985503704
26728,0.24240387037678254,0.7794537428747065
26729,0.25468854368847343,0.733375549156377
26730,0.245424089343384,0.7067674536103036
26731,0.13419158628587446,0.7694322407655027
26732,0.5087050210141525,0.8086042315325035
26733,0.7666493254346743,0.8715237626985174
26734,0.7815778550532154,0.7459733979037553
26735,0.25204536792706156,0.7962988268372175
26736,0.23467178826397433,0.7008257142238924
26737,0.18008534852742247,0.4976689619944052
26738,0.6837062588841987,0.8524206863042857
26739,0.20338589012489633,0.7519676689347407
26740,0.24312101552327325,0.7531617941185661
26741,0.11754068933147832,0.8813481486480202
26742,0.2943773075880124,0.7792767952007094
26743,0.13690435593258268,0.8082716897765609
26744,0.05705518852522481,0.7532063907591704
26745,0.08111280187150854,0.8604319564256276
26746,0.27901883680658196,0.7382765466603424
26747,0.19327092970849477,0.7216848137056863
26748,0.26008562540881225,0.7448251500264963
26749,0.1744565068993184,0.8235388740023417
26750,0.809467030433286,0.9013934531758867
26751,0.25018025451578385,0.7720865292794565
26752,0.15966013597443832,0.35541572631711105
26753,0.28954469406016387,0.721167458065181
26754,0.1174324051451511,0.7109725836274398
26755,0.17528481529750028,0.4463613842970666
26756,0.12431541900892265,0.44781084700037194
26757,0.6336621857723066,0.8578842606017358
26758,0.7327228966832133,0.8618970920910431
26759,0.09896328733739065,0.7777403959518936
26760,0.05503224873865066,0.4485479781246241
26761,0.4928461671469189,0.8099610607306837
26762,0.11191001175467433,0.8077182293463817
26763,0.757647081200741,0.8994942785125235
26764,0.8261144546509346,0.8955599252664185
26765,0.239792769497349,0.8176993110992846
26766,0.165471884764923,0.6933702148733343
26767,0.6848293051682348,0.8744545280736635
26768,0.1011618424968395,0.8769897256979209
26769,0.16371246430775083,0.6516640507921793
26770,0.14980351554742347,0.8465087314896546
26771,0.25251919363317615,0.7835576325790367
26772,0.18315889369714045,0.7825249423246802
26773,0.10076046263964737,0.8167795024744023
26774,0.08920775047780258,0.7820882429133718
26775,0.24194176743197102,0.8204332360338561
26776,0.6172378053781591,0.8812138773166519
26777,0.13790613073259472,0.853018789416192
26778,0.24054911106575239,0.6183475887166509
26779,0.2899692680632427,0.6524528967129104
26780,0.1402349839193914,0.8748819789512995
26781,0.11140098784964907,0.819555370393389
26782,0.15402275628856218,0.6827575334461015
26783,0.16822611668666523,0.7648922006892827
26784,0.2943773075880124,0.782732300860479
26785,0.7560637447288646,0.8966944405096973
26786,0.2464759400240178,0.7726852311611497
26787,0.2634303292936057,0.7540783194456544
26788,0.0804428755911624,0.9080571896905504
26789,0.10276550534334275,0.8008783045205295
26790,0.18333338437702767,0.7523095432851163
26791,0.1661999884304881,0.5982492042328311
26792,0.26269127427143224,0.7631583538566681
26793,0.08659513528753562,0.9120354268934759
26794,0.6781596426317582,0.9037223472464874
26795,0.07913401693931962,0.8755702882572974
26796,0.13049270916741715,0.49700945101577515
26797,0.14959976244339415,0.876543030477902
26798,0.25604725246798304,0.7624667919885192
26799,0.3321364657351122,0.6023762984249568
26800,0.056064105730665795,0.8768832354647617
26801,0.6365816683867546,0.8773088103268153
26802,0.22678473525861273,0.5246494923283745
26803,0.21311397038607932,0.707247691240704
26804,0.2126567345029121,0.7210437020570853
26805,0.17981266713872307,0.6267898334096893
26806,0.12005350277986088,0.8705415778267429
26807,0.31412406781389923,0.7702737673955317
26808,0.21922615537055243,0.7518373735010278
26809,0.6973267144077462,0.5962760317472253
26810,0.10950544654018747,0.6926186228992764
26811,0.17789039573171023,0.40557086301942635
26812,0.13205787859758744,0.7478713975988386
26813,0.5071898207614974,0.8807304944303231
26814,0.08242945089489474,0.8328141792376772
26815,0.19442750933607078,0.7505104119275333
26816,0.1256289714047992,0.6838236210493135
26817,0.24468091905440806,0.8152488949657212
26818,0.3611056705883613,0.6222170461427404
26819,0.33501938836651696,0.6989108692413125
26820,0.2833646586173523,0.7612094474632913
26821,0.23192792906292065,0.7565030546710948
26822,0.20043728568334282,0.7213541724500405
26823,0.7594437662601258,0.8150465089099789
26824,0.11283648845073913,0.8936471513656955
26825,0.7697768041223826,0.9004089895343156
26826,0.136415241334023,0.820382675110411
26827,0.18126919299624147,0.6211259698843891
26828,0.28485786155230025,0.7326285277183463
26829,0.6230475013988208,0.8858913672036215
26830,0.12064022578523916,0.804345258435322
26831,0.25013251108782397,0.7886318351423636
26832,0.12266819264113119,0.8487162757566719
26833,0.09941203860642965,0.7989311115392226
26834,0.40345137619813587,0.8655227938583973
26835,0.5280451991719067,0.8724018478706639
26836,0.2915947001033453,0.8036635850127802
26837,0.33086223377262924,0.4713670318998238
26838,0.2825790693058696,0.8189219938175495
26839,0.08773067107413213,0.7732370549175233
26840,0.1605249437020532,0.7487187546279037
26841,0.512175023552464,0.8795440133186682
26842,0.16659806517144743,0.7369553235246411
26843,0.07134626903471271,0.28131560508021675
