respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.08927879482507706,0.1418253779411316
26708,0.04093645140528679,0.028460901230573654
26709,0.45713669061660767,0.7340999841690063
26710,0.5939065217971802,0.944380521774292
26711,0.21698340773582458,0.36224398016929626
26712,0.534258246421814,0.9821010231971741
26713,0.39671266078948975,0.42889007925987244
26714,0.10070616006851196,0.06703075766563416
26715,0.040172528475522995,0.07541481405496597
26716,0.13278037309646606,0.8312847018241882
26717,0.025549964979290962,0.38055509328842163
26718,0.24328458309173584,0.3207446336746216
26719,0.06415723264217377,0.9401501417160034
26720,0.05527229607105255,0.2160770446062088
26721,0.5512475967407227,0.8292543292045593
26722,0.05634063854813576,0.07484173774719238
26723,0.6226804852485657,0.9520710110664368
26724,0.07964593917131424,0.7672051191329956
26725,0.03180965781211853,0.04591944441199303
26726,0.06902329623699188,0.03697589039802551
26727,0.2768853008747101,0.8020997047424316
26728,0.14696799218654633,0.3665542006492615
26729,0.06798508018255234,0.23210269212722778
26730,0.05694892629981041,0.15377265214920044
26731,0.017369462177157402,0.19517117738723755
26732,0.07278040051460266,0.06057725101709366
26733,0.9351840019226074,0.9750723838806152
26734,0.519166111946106,0.4707082211971283
26735,0.0984589159488678,0.36634618043899536
26736,0.05551113933324814,0.11762616783380508
26737,0.04799099266529083,0.07801645994186401
26738,0.6787946820259094,0.9621291756629944
26739,0.08102153986692429,0.1628524214029312
26740,0.12733492255210876,0.08427301794290543
26741,0.17107950150966644,0.9108433127403259
26742,0.11937654763460159,0.28813403844833374
26743,0.04711213335394859,0.41936689615249634
26744,0.07985620945692062,0.6989347338676453
26745,0.1543012261390686,0.8753756284713745
26746,0.12784039974212646,0.21993865072727203
26747,0.11335387825965881,0.2011115998029709
26748,0.1272703856229782,0.06803156435489655
26749,0.0701356902718544,0.641201376914978
26750,0.657612144947052,0.9438567161560059
26751,0.3034481704235077,0.5599252581596375
26752,0.03978337347507477,0.05435105413198471
26753,0.14673620462417603,0.4480319619178772
26754,0.07472420483827591,0.37977856397628784
26755,0.08359866589307785,0.29521816968917847
26756,0.01911231316626072,0.022756213322281837
26757,0.5269060134887695,0.880460262298584
26758,0.7015070915222168,0.9561467170715332
26759,0.04027403146028519,0.16189078986644745
26760,0.05471757426857948,0.059974972158670425
26761,0.2950194776058197,0.6434528827667236
26762,0.09239548444747925,0.794636070728302
26763,0.7937954664230347,0.9774452447891235
26764,0.9373555183410645,0.9801617860794067
26765,0.060227058827877045,0.7769482731819153
26766,0.13592855632305145,0.10620255768299103
26767,0.8572150468826294,0.8336837291717529
26768,0.020677022635936737,0.33759570121765137
26769,0.1697218418121338,0.0994175598025322
26770,0.10778143256902695,0.4906759560108185
26771,0.032740287482738495,0.09696312248706818
26772,0.06043615564703941,0.43205171823501587
26773,0.02178945764899254,0.23468923568725586
26774,0.019267767667770386,0.2386447638273239
26775,0.08104504644870758,0.49413734674453735
26776,0.4648921489715576,0.22791820764541626
26777,0.08434455841779709,0.8829547762870789
26778,0.14423668384552002,0.051600296050310135
26779,0.11224821209907532,0.497782438993454
26780,0.16273154318332672,0.914959728717804
26781,0.11135498434305191,0.3393636643886566
26782,0.046336982399225235,0.2353222668170929
26783,0.07256129384040833,0.28034350275993347
26784,0.2394622266292572,0.8207176923751831
26785,0.3274308741092682,0.3410276174545288
26786,0.12496935576200485,0.15380309522151947
26787,0.08446220308542252,0.6556462049484253
26788,0.06638994812965393,0.9294919371604919
26789,0.011901534162461758,0.22491346299648285
26790,0.06314678490161896,0.20899811387062073
26791,0.0756223127245903,0.10739859938621521
26792,0.15393541753292084,0.7658413052558899
26793,0.10778526216745377,0.919998824596405
26794,0.8504381775856018,0.9578205943107605
26795,0.040595922619104385,0.950534999370575
26796,0.027826359495520592,0.04061731696128845
26797,0.08457346260547638,0.6954721808433533
26798,0.2015090137720108,0.14472433924674988
26799,0.263858437538147,0.12627045810222626
26800,0.03175302967429161,0.9487786293029785
26801,0.23501375317573547,0.2610705494880676
26802,0.1220458373427391,0.1467423439025879
26803,0.052554477006196976,0.11954464018344879
26804,0.05027395859360695,0.08374395966529846
26805,0.07464587688446045,0.16574624180793762
26806,0.05715681612491608,0.9377430081367493
26807,0.6847542524337769,0.9553911089897156
26808,0.2157732993364334,0.38712769746780396
26809,0.6378825306892395,0.21408256888389587
26810,0.051632292568683624,0.10202246904373169
26811,0.027587974444031715,0.039409905672073364
26812,0.10853908210992813,0.8090898394584656
26813,0.3114375174045563,0.20027107000350952
26814,0.030179837718605995,0.6523953676223755
26815,0.03509971499443054,0.058230310678482056
26816,0.045631855726242065,0.09345438331365585
26817,0.10779374092817307,0.5752421021461487
26818,0.08932963758707047,0.1393752545118332
26819,0.2466464340686798,0.17837344110012054
26820,0.11060117185115814,0.15896475315093994
26821,0.08016940951347351,0.5566896796226501
26822,0.21619820594787598,0.6629850268363953
26823,0.2830108404159546,0.16962948441505432
26824,0.03049662709236145,0.7615396976470947
26825,0.418669730424881,0.5881617665290833
26826,0.09241265803575516,0.6013299226760864
26827,0.0576937273144722,0.14258337020874023
26828,0.19001074135303497,0.4598624110221863
26829,0.6135890483856201,0.9431314468383789
26830,0.054174598306417465,0.8293257355690002
26831,0.16577017307281494,0.8714644908905029
26832,0.11020726710557938,0.7603397369384766
26833,0.020373040810227394,0.6061131954193115
26834,0.1990329623222351,0.32672029733657837
26835,0.6064939498901367,0.9722176790237427
26836,0.17026706039905548,0.6367800235748291
26837,0.07731723040342331,0.02514045313000679
26838,0.09695132821798325,0.3861592411994934
26839,0.2317630499601364,0.27884408831596375
26840,0.07716540992259979,0.08502469956874847
26841,0.6144962906837463,0.934990644454956
26842,0.051946502178907394,0.12088420987129211
